2019/6/12 13:03:59	正在初始化...已完成

2019/6/12 13:04:00	链接12306服务器速度:55毫秒[优]

2019/6/12 13:04:00	获取到:723个CDN,开始智能测速中...

2019/6/12 13:04:47	正在初始化...已完成

2019/6/12 13:05:22	正在初始化...已完成

2019/6/12 13:05:23	链接12306服务器速度:43毫秒[优]

2019/6/12 13:05:23	获取到:723个CDN,开始智能测速中...

2019/6/12 13:05:34	删除联系人前，检查登录状态

2019/6/12 13:07:51	当前账号：Curtain830

2019/6/12 13:07:51	登录完毕，登录名称：15853753387

2019/6/12 13:08:49	查询完毕,本次查询共用时:395毫秒

2019/6/12 13:09:08	开始查询2019-07-07车次，间隔：默认

2019/6/12 13:11:05	[设置无效]信息不完全,不能自动抢票！(乘客、席别、已选车次其中包含空项

2019/6/12 13:11:27	修改联系人前，检查登录状态

2019/6/12 13:11:35	修改联系人前，检查登录状态

2019/6/12 13:11:50	开始查询2019-07-07车次，间隔：默认

2019/6/12 13:32:59	正在加载QQ聊天窗体...

2019/6/12 13:33:01	QQ窗体加载失败,请确定已打开QQ聊天窗口!

2019/6/12 14:15:34	链接12306服务器速度:26毫秒[优]

2019/6/12 16:14:08	正在初始化...已完成

2019/6/12 16:14:42	正在初始化...已完成

2019/6/12 16:14:43	链接12306服务器速度:61毫秒[优]

2019/6/12 16:14:43	获取到:723个CDN,开始智能测速中...

2019/6/12 16:14:52	查询完毕,本次查询共用时:480毫秒

2019/6/12 16:14:59	开始查询2019-07-07车次，间隔：默认

2019/6/12 16:15:43	链接12306服务器速度:39毫秒[优]

2019/6/12 16:22:54	结束车票查询

2019/6/12 16:23:40	正在初始化...已完成

2019/6/12 16:23:40	链接12306服务器速度:50毫秒[优]

2019/6/12 16:23:41	获取到:723个CDN,开始智能测速中...

2019/6/12 16:24:17	查询完毕,本次查询共用时:388毫秒

2019/6/12 16:24:32	查询完毕,本次查询共用时:67毫秒

